date,food_price_index
2021-07-01,2.821
2021-08-01,2.82425
2021-09-01,2.8105
2021-10-01,2.69825
2021-11-01,2.7725
2021-12-01,2.7504999999999997
2022-01-01,2.85
2022-02-01,2.83875
2022-03-01,2.85725
2022-04-01,2.8415
2022-05-01,2.96
2022-06-01,3.163
2022-07-01,3.3907499999999997
2022-08-01,3.87575
2022-09-01,4.0424999999999995
2022-10-01,4.0865
2022-11-01,4.14975
2022-12-01,4.20975
2023-01-01,4.409000000000001
2023-02-01,4.625249999999999
2023-03-01,4.96325
2023-04-01,5.24175
2023-05-01,5.7235
2023-06-01,5.9795
2023-07-01,6.26875
2023-08-01,6.53225
2023-09-01,6.47475
2023-10-01,6.53975
2023-11-01,7.033499999999999
2023-12-01,7.4045
2024-01-01,8.288
2024-02-01,8.7735
2024-03-01,10.51
2024-04-01,12.40975
2024-05-01,15.346
2024-06-01,16.56825
2024-07-01,19.43575
2024-08-01,22.687
2024-09-01,24.771
2024-10-01,25.14925
2024-11-01,26.727749999999997
2024-12-01,28.8695
2025-01-01,31.48625
2025-02-01,33.88125
2025-03-01,36.695
2025-04-01,38.2525
2025-05-01,39.028000000000006
2025-06-01,40.986
2025-07-01,42.4265
2025-08-01,42.64325
2025-09-01,42.42425
2025-10-01,42.9505
2025-11-01,42.16225
2025-12-01,40.45725
2026-01-01,41.97925
2026-02-01,42.224
2026-03-01,44.06375
2026-04-01,46.81525
